plate,status,category,reviewer_comments,review_reason_code,customer_meaning
OG MEZA,Rejected,"Foreign, slang, or phonetic",OG-ORGINAL GANGSTA,7.0,NAME
PLZDNH8,Rejected,Vulgar or degrading term,PLEASE DON'T HATE,2.0,PLEASE DON'T HATE
REDSURF,Accepted,"Foreign, slang, or phonetic",RED-GANG COLOR. GOOGLE DIDN'T SHOW BUSINESS,7.0,MUSIC BAND NAME
RED TOP,Accepted,"Foreign, slang, or phonetic",RED-GANG COLOR. IT IS A BUSINESS,7.0,"REFERENCE TO COMPANY, RED TOP SPORT CENTER IN STOCKTON CA."
SUKSEED,Rejected,Sexual connotation,"SUCK SEED-BJ?  ""SUCSEED"" IS MARKED UNACCEPTABLE",1.0,SUCCEED. IT'S A SYMBOL OF SUCCESS
TT8O4,Rejected,Sexual connotation,TT  IS PENIS IN TAGALOG,1.0,BADGE NUMBER
WADAFAQ,Rejected,Swear word or profane,WHAT THE FUCK,3.0,WHAT THE HECK
WOODYS,Rejected,Sexual connotation,WOODY CAN BE SLANG FOR HARD ON. IT IS HIS MIDDLE NAME,1.0,MY MIDDLE NAME IS WOODROW. I GO BY WOODY
13NRB13,Rejected,"Foreign, slang, or phonetic",13-GANG NUMBER,7.0,INTIALS AND LUCKY NUMBER
2DA 831,Rejected,"Foreign, slang, or phonetic",831 IS SALINAS AREA CODE,7.0,MY HOMETOWN AREA CODE
5TMP3LF,Rejected,Vulgar or degrading term,STUMPIE LIKE MISSING A LIMB?,2.0,STUMPIE4LIFE
559JATT,Rejected,"Foreign, slang, or phonetic",559 FRESNO AREA CODE,7.0,559 IS MY AREA CODE AND JATT MEANING IS HARD WORKINGMAN
9O9 BENZ,Rejected,"Foreign, slang, or phonetic",909 E LA AREA CODE,7.0,
NKFVAS,Rejected,Swear word or profane,BACKWARDS- SAV FUCKEN? PET PLATE,3.0,INTIALS OF FAMILY MEMBERS
$ASASS,Rejected,Swear word or profane,ASS?,3.0,ALIYAH SORAYA AUDREY SOPHIA SAVANNAH
HVN13,Rejected,"Foreign, slang, or phonetic",13-GANG NUMBER,7.0,INTIALS OF MY FULL NAME AND DAY OF BIRTH
DM FAN,Rejected,Swear word or profane,DM-DAMN?,3.0,DEPECHE MODE FAN
REDWN,Accepted,"Foreign, slang, or phonetic",RED-GANG COLOR. VET PLATE IT IS ACTUAL TERMN THEY USED WHEN CAPTURING HUSSEIN,7.0,OPERATION RED DAWN IRAQ
13LEFN,Rejected,"Foreign, slang, or phonetic",13-GANG NUMBER. VET PLATE,7.0,IT WAS OUR PLATOON NAME. WE WERE NAMED AFTER ROMES MIGHTIEST LEGION THE 13TH
BAD KTY,Rejected,Sexual connotation,KITTY CAN BE SLANG FOR PUSSY .,1.0,BAD KITTY
IH8OHIO,Rejected,Vulgar or degrading term,I HATE OHIO,2.0,I HATE OHIO BUCKEYES. I AM A MICHIGAN WOLVARINE FAN
JKAN 88,Rejected,"Foreign, slang, or phonetic",88-HITLER RELATED. NO 88 CAR,7.0,"JENNIFER KAN, 88 IS MY LUCKY NUMBER"
LUCKY B,Rejected,Swear word or profane,B-BOAT OR BITCH? DOES HAVE A BOAT,3.0,IT IS THE NAME OF OUR BOAT NAMED AFTER OUR SON BRANDON
NORCAL G,Rejected,"Foreign, slang, or phonetic",G-GANGSTA? NO INFINITI G35 ON RECORD,7.0,NOR CAL G35 INFINITI
REDVF1J,Accepted,"Foreign, slang, or phonetic",RED GANG COLOR. WHAT THEY SAY IS TRUE,7.0,RED VERITECH FIGHTER JET FROM CARTOON ROBOTOECH
SIK AF,Rejected,Swear word or profane,AF-AS FUCK,3.0,CAR NAME
USQUIRT,Rejected,Sexual connotation,SQUIRT CAN BE SEXUAL,1.0,POKEMON CHARACTER
1BA HH8,Rejected,"Foreign, slang, or phonetic",I BE HATE?,7.0,TRUCK NUMBER
6 REDMAN,Rejected,Vulgar or degrading term,REDMAN-RACIAL? IT IS HIS LAST NAME,2.0,NUMBER AND LAST NAME
G DEAD,Rejected,"Foreign, slang, or phonetic",G-GANGSTA?,7.0,GRATEFUL DEAD BAND
LEV 1,Rejected,"Foreign, slang, or phonetic","""LEVI"" IS CURRENT PULL FOR SUBBING? ON THIS ONE THERE IS A FULL SPACE BETWEEN.",7.0,OUR ONLY CHILD'S INTIALS
VGRA BLU,Rejected,Sexual connotation,SEX PILL,1.0,COLOR OF BLUE
PMPG8TR,Rejected,"Foreign, slang, or phonetic",PIMP GATOR,7.0,NO MICRO
SS 14,Rejected,Vulgar or degrading term,SS-HITLERS ARMY. 14-HITLER,2.0,NO MICRO
BAMFND$,Rejected,Swear word or profane,BAD ASS MOTHER FUCKER,3.0,NO MICRO
BLU HWY,Accepted,"Foreign, slang, or phonetic",BLUE-GANG,7.0,NO MICRO
SHANTY G,Rejected,"Foreign, slang, or phonetic",G-GANGSTA,7.0,NO MICRO
AWR NUNU,Rejected,Sexual connotation,nunu=penis in Bangla (Bangladesh language) not name on 272,1.0,my name
BMBLBCH,Rejected,Swear word or profane,bumble-bitch,3.0,I have a camaro like bumblebee from transformers and I also love the beach. Play on bumblebee and beach
CREST18,Rejected,Vulgar or degrading term,18= hate symbol,2.0,my business is crest office funiture and my favorite number is 18
CYMF 1,Rejected,Swear word or profane,SEE YOU MOTHERFUCKER,3.0,COTTON YARN MANUFACTURING FACILITY
DRDPLLO,Accepted,Vulgar or degrading term,RED (THE RED POLLO),2.0,XBOX GAMERTAG: DAREDPOLLO
ESCULAP,Rejected,Sexual connotation,THIS IS A DRUG FOR THE TREATMENT OF ERECTILE DYSFUNCTION,1.0,"""DOCTOR"""
G MARGRY,Rejected,Vulgar or degrading term,"G=GANGSTER, G IS HER MIDDLE INITIAL MARGERY IS HER FIRST NAME",2.0,NO QUICKWEB
HELLRAT,Accepted,Swear word or profane,"HELL, HAS A 2015 DODGE",3.0,CHEVY EATER
ISLYZMB,Rejected,Vulgar or degrading term,"SLAY=KILL, I SLAY ZOMBIE",2.0,ZOMBIE LICENSE PLATE
JUSTY 88,Rejected,Vulgar or degrading term,"88=HATE SYMBOL, NO 88 CAR",2.0,NO QUICKWEB
MYBADSS,Rejected,Swear word or profane,BAD ASS OR BAD SS? HAS 07 CHEVY UT,3.0,MY BAD SUPER SPORT
M6OGUNR,Rejected,Vulgar or degrading term,GUN,2.0,"I WAS IN VIETNAM AND I WAS A M60 MACHINE GUNNER"""
NFXNCHL,Rejected,Sexual connotation,NETFLIX AND CHILL=SEX,1.0,"NO FLEXING, (JUST) CHILL (OUT)"""
NITRO 88,Rejected,Vulgar or degrading term,"88=HATE SYMBOL, NO 88 CAR",2.0,NO QUICKWEB
OLSKLG,Rejected,Vulgar or degrading term,"OLD SCHOOL G, PULLED FOR G=GANGSTER",2.0,OLD SCHOOL GENTLEMAN
O6WETO8,Rejected,Sexual connotation,WET,1.0,SPECIAL MOMENT
PIGALEE,Rejected,Misrepresents law enforcement,PIG=LAW ENFORCEMENT SLUR,5.0,NO QUICKWEB
RL 88,Rejected,Vulgar or degrading term,"88=HATE SYMBOL, nO 88 CAR",2.0,MY INITIALS AND LUCKY NUMBERS
ROT SPAB,Rejected,Vulgar or degrading term,RED  in German,2.0,RED FUN (TRANSLATED FROM GERMAN)
SLUSLYR,Rejected,Vulgar or degrading term,"SLU=saint louis university, slayer=killer",2.0,NAME OF 2012 COLLEGE SOCCER TEAM
SPD FRK,Rejected,Swear word or profane,SPEED FREAK=SOMEONE HIGH ON METH,3.0,SPEED FREAK CUSTOM CARS
TRD FISH,Rejected,Swear word or profane,TURD FISH,3.0,NO QUICKWEB
TV 5O,Accepted,Misrepresents law enforcement,50=POLICE BUT CUSTOMER MEANING IS TRUE,5.0,TERESA VARGAS INITIALS. 50 FOR 1950 DOB
UR MOM,Rejected,Vulgar or degrading term,"CONFRONTATIONAL, ""YOUR MOTHER""",2.0,IM THE MOM
YOGIKAT,Rejected,Sexual connotation,CAT=PUSSY. CUSTOMER IS KATHLEEN,1.0,YOGI (PERSON WHO DOES YOGA) KAT (PERSONS NAME)
ZO6KLLR,Rejected,Vulgar or degrading term,KILLER,2.0,MINOR HAZE TOWARDS CHEVY OWNERS AS A JOKE
13P,Rejected,Vulgar or degrading term,"13=GANG NUMBER, NO 2013 CAR",2.0,BIRTHDAY AND INITIAL
582 ICSO,Rejected,Misrepresents law enforcement,ICSO=IMPERIAL COUNTY SHERIFFS OFFICE,5.0,BADGE NUMBER AND SHERIFF'S OFFICE
9SN45S,Rejected,Vulgar or degrading term,9's and 45's are guns,2.0,gun collector
CA 8O5,Rejected,Vulgar or degrading term,OJAI CA AREA CODE,2.0,NO QUICKWEB
RYDEHRD,Rejected,Sexual connotation,"RIDE HARD, COULD BE SEXUAL BUT IT IS FOR A MOTORCYCLE, OK?",1.0,NO QUICKWEB
U WANTIT,Rejected,Sexual connotation,YOU WANT IT,1.0,NO QUICKWEB
#MR TATA,Rejected,Sexual connotation,TATAS=BREASTS,1.0,NO QUICKWEB
OINK $R,Rejected,Misrepresents law enforcement,OINK (PIG-COP) LOVER,5.0,I LOVE MY PET PIGGY'S
$PIFUKA,Rejected,Swear word or profane,FUCKER?,3.0,NAME OF OUR DOG
MYTNT WT,Accepted,Vulgar or degrading term,TNT=DYNAMITE,2.0,NO QUICKWEB
GMACAT,Accepted,Sexual connotation,"CAT=PUSSY. HER INITIALS ARE C.A.T. AND SHE ALREADY HAS ""ERC CAT""",1.0,GRANDMA CARLA ANN TALAVERA
BREST,Rejected,Sexual connotation,SOUNDS LIKE BREAST. IT IS A CITY IN BELARUS,1.0,MY NATIVE CITY IN BELARUS
92RIOT,Rejected,Vulgar or degrading term,1992 L.A. RIOTS--AFTER THE AQUITTAL OF THE POLICE OFFICERS WHO ARRESTED AND BEAT RODNEY KING,2.0,NO QUICKWEB
BBIG RED,Accepted,Vulgar or degrading term,RED,2.0,NO QUICKWEB
CARICAT,Rejected,Sexual connotation,"CAT=PUSSY , NO CAT CAR",1.0,NO QUICKWEB
C6A1L9I,Rejected,Vulgar or degrading term,AREA CODE 619 IS SAN DIEGO COUNTY,2.0,"IT IS CALI (FOR CALIFORNIA) AND 619, WHICH IS MY AREA CODE. CALI 619, COMBINED."
IL DO ME,Rejected,Sexual connotation,DO ME COULD BE OK OR COULD BE SEXUAL,1.0,NO QUICKWEB
JAHSH 69,Rejected,Sexual connotation,NO 69 CAR,1.0,NO QUICKWEB
OMEGASX,Rejected,Sexual connotation,SEX? NO 79 OLDS ON ANI BUT OMEGA WITH SX IS A REAL MODEL,1.0,1979 OLDSMOBILE OMEGA WITH SX OPTION
PTSZTNT,Accepted,Vulgar or degrading term,TNT=DYNAMITE,2.0,PINT SIZED DYNAMITE
REDFURY,Rejected,Vulgar or degrading term,"RED, GANG COLOR",2.0,IT IS A FEELING THAT DOESN’T LAST LONGER
I IR88 U,Rejected,Vulgar or degrading term,88=HATE SYMBOL,2.0,I IRRADIATE YOU. I AM A X-RAY TECHNOLOGIST AT A HOSPITAL AND I IRRADIATE PATIENTS AS PART OF MY JOB
BITSHYD,Rejected,Swear word or profane,BITCHY D. BIT SHY.,3.0,BITS PILANK HYDERABAD CAMPUS ALUMNI
BONGSKE,Rejected,"Foreign, slang, or phonetic",BONG-WEED,7.0,ALIAS
CUMSTNG,Rejected,Sexual connotation,CUM-EJACULATE,1.0,A HORSE
DEVINE V,Rejected,Sexual connotation,DEVINE VAGINA,1.0,SORORITY NICKNAME AND ROMAN NUMERAL 5
DOPE B7,Rejected,"Foreign, slang, or phonetic","DOPE DRUGS, OR DOPE COOL, REFERING TO THE CAR",7.0,DOPE IS SAYING IT'S NICE. AND B7 IS THE MODEL OF THE CAR STYLE
GUN MD,Rejected,"Foreign, slang, or phonetic",GUN DOCTOR,7.0,GUN DOCTOR (GUNSMITH)
HCATKLR,Rejected,"Foreign, slang, or phonetic",HELLCAT KILLER,7.0,HELLCAT KILLER
HE S TNT,Accepted,"Foreign, slang, or phonetic",HE'S DYNAMITE,7.0,"MY MOTHER HAS ""SHES DYNAMITE"" AND I THOUGHT IT WOULD BE NEAT IF I HAD ""HE'S DYNAMITE"""
IDGAF86,Rejected,Swear word or profane,I DON’T GIVE A FUCK,3.0,"NAME OF CLOTHING CO, AND 86 FOR TOYOTA COROLLA 86"
LKR GANG,Rejected,"Foreign, slang, or phonetic",LAKER GANG,7.0,HUGE LOS ANGELES LAKERS FAN AND THIS IS HOW I WANT TO SHOW MY SUPPORT
MG SUCKS,Rejected,"Foreign, slang, or phonetic",SUCKS,7.0,"MY MUSCLE DISEASE MYASTHENIA GRAVIS IT SUCKS, IT IS NOT A GOOD DISEASE"
NO F GVN,Rejected,Swear word or profane,NO FUCKS GIVEN,3.0,INITIAL OF MY MENTOR AND LIFE COUNSELOR
SMKY562,Rejected,"Foreign, slang, or phonetic",562-LA AREA CODE,7.0,NICKNAME AND AREA CODE
SND TACO,Rejected,"Foreign, slang, or phonetic",SAND TACOMA. TACO-VAGINA,7.0,"THE COLOR OF MY TRUCK IS QUICKSAND AND THE MODEL IS TACOMA. SO ""SAND TACO"""
TARIK14,Rejected,"Foreign, slang, or phonetic",14-HITLER,7.0,PERSON NAME
THUG AP1,Rejected,"Foreign, slang, or phonetic",THUG-GANG,7.0,MY CHILDHOOD NICKNAME AND MY NUMBER
14TEETR,Rejected,"Foreign, slang, or phonetic",14-HITLER,7.0,I LOVE TEETER
16 TACO,Rejected,Sexual connotation,COULDN'T VERIFY 2016 TACOMA,1.0,16 IS FOR MY 2016 AND TACO IS SHORT TERM FOR TACOMA THE MODEL OF MY TRUCK.
65O SPDR,Rejected,"Foreign, slang, or phonetic",650-AREA CODE,7.0,650 SPIDER- CAR MODEL
$FOOFY,Accepted,Sexual connotation,FOOFY-VAGINA,1.0,IN LOVING MEMORY OF MY BROTHER
FASTDDS,Rejected,Sexual connotation,FAST DDS-DENTIST. FAST DOUBLE D'S,1.0,FAST DENTIST
KYK RCKS,Rejected,Swear word or profane,KICK ROCKS. FUCK OFF,3.0,KYK IS MY SONS INITIALS SO IT READS HIS NAME PLUS ROCKS
WALLY13,Rejected,"Foreign, slang, or phonetic",13-GANG,7.0,MY ELDEST SON'S NAME
88 FA,Rejected,"Foreign, slang, or phonetic",88-HITLER,7.0,1988 FORM ASSOCIATION
CRX 88,Rejected,"Foreign, slang, or phonetic",88-HITLER,7.0,BECAUSE MY CAR IS CRX88
DRTBAGS,Rejected,"Foreign, slang, or phonetic",DIRTBAG. OFFENSIVE?,7.0,NO MICRO
JLF 69,Rejected,Sexual connotation,NO 1969 VERIFIED,1.0,NO MICRO
48 88,Rejected,"Foreign, slang, or phonetic",88-HITLER,7.0,NO MICRO
FTW DYNA,Rejected,Swear word or profane,FUCK THE WORLD,3.0,NO MICRO
BOLEN 13,Rejected,"Foreign, slang, or phonetic",13-GANG,7.0,MY DAUGHTERS NICKNAME AND BIRTHDAY
BOX,Rejected,Sexual connotation,VAGINA,1.0,ITS GOING ON A VOLVO WAGON WHICH IS STEREOTYPICALLY BOXY
EF CNCR,Rejected,Swear word or profane,FUCK CANCER,3.0,BOTH MY PARENTS WERE DIAGNOSED WITH CANCER AND ARE DISEASED DUE TO IT.F OR THIS REASON I JOINED THE EFF CANCER MOVEMENT
ET69 COM,Rejected,Sexual connotation,NO 1969 VEHICLE VERIFIED,1.0,WEBSITE NAME ET69.COM
IH8UALL,Rejected,Swear word or profane,HATE,3.0,OLD FAMILY NAME
MRRE209,Rejected,"Foreign, slang, or phonetic",CUSTOMERS MANTECA AREA CODE,7.0,MR REAL ESTATE 209
MTS 14,Rejected,"Foreign, slang, or phonetic",14-HITLER,7.0,INITIALS AND 14 IS A SPECIAL DATE
88B 8BB,Rejected,"Foreign, slang, or phonetic",88-HITLER,7.0,88B 8BB
CROW 88,Rejected,"Foreign, slang, or phonetic",88-HITLER,7.0,NO MICRO
DBL DEEZ,Rejected,Sexual connotation,DOUBLE D'S. CUSTOMERS INITIALS DEREK DAHL,1.0,MY INITIALS DD FOR DEREK DAHL
GI GUH D,Rejected,Sexual connotation,GIGGITY,1.0,TO LAUGH
GRLMNKY,Rejected,Sexual connotation,MONKEY. VAGINA?,1.0,NICKNAME MONKEY GIRL
JBOBA 13,Rejected,"Foreign, slang, or phonetic",13-GANG,7.0,MY NAME IS JESS BOBADILLA AND I GRADUATED FROM COLLEGE 2013.
KZMYA55,Rejected,Swear word or profane,KISS MY ASS,3.0,MY TRUCK IS COOL
13BOY 88,Rejected,"Foreign, slang, or phonetic",88-HITLER,7.0,NO MICRO
A 65OKLR,Rejected,"Foreign, slang, or phonetic",650 CA AREA CODE,7.0,NO MICRO
ABYC 14,Accepted,Vulgar or degrading term,"14=hate symbol, no 2014 car",2.0,alamitos bay yacht club 2014
ARREOLA,Rejected,Sexual connotation,areola=nipple… not her last name,1.0,no quickweb
DEEZ3 5,Rejected,Sexual connotation,meaning 'deez nuts'? Name is David,1.0,DEEZ IS FOR MY SONS AND MY INITIAL. THE 3.5 IS FOR THE ENGINE SIZE OF THE VEHICLE
DRLGNKY,Rejected,Sexual connotation,"DARLING NIKKI, PRINCE SONG, VERY SEXUAL",1.0,"MY MIDDLE NAME IS NICOLE, FAMILY HAS ALWAYS CALLED ME NICKY, TITLE OF MY FAVE SONG"
EFFS 1OO,Rejected,Swear word or profane,EFF (FUCK) HIS NAME IS EFRAIN,3.0,no quickweb
FCBARCE,Rejected,Swear word or profane,FUCK OR FOOTBAL CLUB BARCELONA,3.0,FAVORITE SOCCER TEAM FC BARCELONA
FXDWLD,Rejected,Swear word or profane,FIX OR FUCKS THE WORLD,3.0,no quickweb
GFK4LYF,Rejected,Vulgar or degrading term,GFK=Ghost Face Killah from Wu Tang Clan,2.0,go for (the los angeles) kings for life
LEZFCTR,Rejected,Vulgar or degrading term,"THE LEZ FACTOR IS THE NAME OF THEYRE SHOW ON YOUTUBE. DICTIONARY.COM SAYS THE TERM ""LEZ"" IS OFFENSIVE",2.0,COMPANY NAME: THE LEZ FACTOR
KORSHUN,Rejected,Vulgar or degrading term,GOOGLE TRANSLATE SAYS IT’S A KITE BUT ITS ALSO THE NAME OF A KNIFE(AND RIFLE) AND A GOOGLE IMAGE SEARCH SHOWS KNIVES AND BOOTY PICS,2.0,BIRD IN RUSSIAN
MEAN KAT,Rejected,Sexual connotation,"NO CAT CAR, PUSSY",1.0,no quickweb
PIPELAY,Rejected,Sexual connotation,LAYING PIPE=SLANG FOR SEX,1.0,IM A PLUMBING CONTRACTOR
RX RANT,Rejected,Swear word or profane,RX=PRESCRIPTION DRUGS,3.0,PHARMACY AND ROB ANTOINE (MY NAME ABBREVIATED)
SCLPL,Accepted,Vulgar or degrading term,SCALPEL=SMALL SHARP KNIFE USED IN SURGERY,2.0,A PRECISION MACHINE/INSTRUMENT LIKE A SCALPEL
SPACBL1,Rejected,Sexual connotation,BALL=TESTICLE,1.0,SPACEBALL 1
UJ ITB,Rejected,Sexual connotation,ITB=IN THE BUTT,1.0,"UNCLE JOHN IS THE BEST, A FAMILY SLOGAN"
VAL 88,Rejected,Vulgar or degrading term,88=HATE SYMBOL,2.0,FIRST 3 LETTERS OF MY NAME AND LAST 2 DIGITS OF BIRTH YEAR
VW R FTW,Rejected,Swear word or profane,FTW=FUCK THE WORLD,3.0,"VW IS FOR VOLKSWAGEN, MAKE OF THE CAR. R IS FOR THE MODEL FOR CAR, GOLF R. FTW IS 'FOR THE WIN'"
4 PLAAY,Rejected,Sexual connotation,FOREPLAY,1.0,I HAVE A NEW 2015 TOYOTA 4RUNNER THAT I LIKE TO TAKE AND PLAY IN THE DIRT IT IS MY OFF ROAD VEHICLE THAT I LIKE TO GO AND PLAY IN
4SKIDAZ,Accepted,Sexual connotation,ASS?,1.0,MY 4X4 JEEP IS… FOR SKIING DAYS
69 AUSSI,Rejected,Sexual connotation,NO 69 CAR,1.0,1969 AUSTRAILIAN BUILT MORRIS MINI COOPER
EFFS 3OO,Rejected,Swear word or profane,EFF (FUCK) HIS NAME IS EFRAIN,3.0,no quickweb
TC 88PAN,Rejected,Vulgar or degrading term,"88=HATE SYMBOL, NO 88 CAR",2.0,no quickweb
ZERO FS,Rejected,Swear word or profane,ZERO FUCKS,3.0,no quickweb
SUKILW,Rejected,Sexual connotation,SUCK,1.0,"MY LHASA APSE. SUKI, HER NAME. LW, SHORT FOR MY LAST NAME."
FAM$RED,Accepted,Vulgar or degrading term,RED=GANG COLOR,2.0,no quickweb
G$TZKHA,Accepted,Vulgar or degrading term,G=GANGSTER,2.0,PLATE MEANING IS LEFT BLANK
E MOB,Rejected,Vulgar or degrading term,"MOB, MEMBER OF BLOODS (GANG) OR MOB AS IN ORGANIZED CRIME",2.0,no quickweb
WOS 13,Rejected,Vulgar or degrading term,"13=GANG NUMBER, NO 2013 CAR",2.0,no quickweb
HUM DIS,Rejected,Sexual connotation,"HUM THIS, CAN HAVE SEXUAL CONNOTATIONS BUT CUSTOMER HAS 2 HUMMERS",1.0,THIS HUMMER (H2)
ATM PIT,Rejected,Sexual connotation,ASS TO MOUTH,1.0,no quickweb
CBWHTWY,Rejected,Vulgar or degrading term,CB WHITE WAY? NAME ON 272 IS COREY W WHITE,2.0,INITIALS OF FULL NAME
CHKNCRK,Rejected,Swear word or profane,CHICKEN CRACK. PULLED FOR DRUG CONNOTATION BUT HER MEANING IS TRUE,3.0,WE MAKE CERTIFIED ORGANIC BACKYARD CHICKEN TREATS. OUR BEST SELLER IS CHICKEN CRACK. CHECK IT OUT… HTTP://WWW.TREATSFORCHICKENS.COM/ORGANIC-PRODUCTS/TREATS/
HTM HARD,Rejected,Vulgar or degrading term,HIT EM HARD,2.0,"A TERM USED ON THE DICE TABLE. HARD NUMBERS 4,6,8 AND 10. A HARD 4 WOULD BE 2 & 2 AS APPOSED TO 1 & 3"
LOLIPOP,Rejected,Sexual connotation,LOLIPOP CAN HAVE SEXUAL CONNOTATIONS,1.0,MY GRANDMOTHER NAME IS LOLI AND GRANDFATER NAME IS POP = LOLIPOP
LOPIE13,Rejected,Vulgar or degrading term,"13=GANG NUMBER, NO 2013 CAR",2.0,NAME AND LUCKY NUMBER
MBJ,Rejected,Sexual connotation,BJ=BLOW JOB (NAME IS MOHAMMED ALMUHANNADI),1.0,MY NAME
MY MNKYS,Rejected,Sexual connotation,MONKEY CAN HAVE SEXUAL CONNOTATIONS,1.0,CALL OUR KIDDOS MONKEYS THEY ALWAYS HANG ON US
N99A PLZ,Rejected,Vulgar or degrading term,NGGA PLEASE,2.0,"NATE #99 ALTERNATE CAPTAIN, PLEASE SCORE GOAL"
SKLFKR 2,Rejected,Sexual connotation,SKULL FUCKER,1.0,SKI LIFT FAN KYLIE REESE 2
1 4U ICE,Rejected,Vulgar or degrading term,14? (HATE SYMBOL) ONLY 1/2 SPACE BETWEEN THE 1 AND 4. NO 2014 CAR. ALSO ICE IS TO KILL SOMEONE OR SLANG FOR METH,2.0,no quickweb
88SV888,Rejected,Vulgar or degrading term,88=HATE SYMBOL,2.0,8 IS MY FAVORITE NUMBER AND SV ARE THE INITIALS OF MINE AND MY WIFE'S. THANK YOU.
ROJAS18,Rejected,Vulgar or degrading term,18=HATE SYMBOL,2.0,THE LICENSE PLATE MEANS MY LAST NAME AND BASEBALL NUMBER
SM2BLK4,Rejected,Sexual connotation,SM=SADO-MASOCHISM OR SLAVE MASTER,1.0,PROJECT AT WORK
ALWZ GSD,Rejected,Swear word or profane,GSD=GETTING SHIT DONE,3.0,INITIALS OF A GOOD FRIEND THAT PASSED RECENTLY
LUSCAKE,Rejected,Sexual connotation,CAKE=ASS,1.0,MY GRAND-DAUGHTER IS A BAKER AND RUNS A BUSINESS NAMED 'LUSCIOUS CAKES'
AMZ BLLZ,Rejected,Sexual connotation,AMAZE BALLS,1.0,AMAZING BELLS- MUSICAL REFERENCE
APX EATR,Rejected,Sexual connotation,EATER,1.0,"APEX EATER, THE LINE A RACE CAR DRIVES ON A RACE TRACK"
BAJA TACO,Rejected,Sexual connotation,TACO,1.0,BAJA TACO
C8H18 O2,Accepted,Vulgar or degrading term,18 HITLER REFERENCE,2.0,PART OF THE CHEMICAL FORMULA FOR GASOLINE COMBUSTION
DUDU1,Rejected,Vulgar or degrading term,DOO DOO,2.0,THE COLOR BLACK IN AFRICAN
HTNLVWU,Accepted,Vulgar or degrading term,HTN LOOKS LIKE HATING,2.0,HOT IN LOVE WITH YOU
HUSTLIN,Rejected,Vulgar or degrading term,HUSTLING,2.0,"WORKING HARD, BUSY MOVEMENT AND ACTIVITY: ""THE HUSTLE AND BUSTLE OF THE BIG CITIES"""
MAVA 88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2.0,
MOB LYFE,Rejected,Vulgar or degrading term,MOB,2.0,JUST A CAR CLUB...I HAVE A BLACK CHRYSLER 300 SHOW CAR AND THAT SEEMED LIKE A FUN PLATE TO HAVE
MON TT,Accepted,Sexual connotation,TT LOOKS LIKE TITTY,1.0,MY NAME IS MONTE AND MY CAR IS AN AUDI TT - SO WHEN YOU PUT THEM TOGETHER - YOU GET MONTT
NAFFOFF,Rejected,Vulgar or degrading term,ANOTHER WAY OF SAYING PISS OFF OR FUCK OFF,2.0,"MEANS TO ""GO AWAY"" OR ""BACK OFF"" IN THE UNITED KINGDOM"
PCKT RKT,Rejected,Sexual connotation,POCKET ROCKET,1.0,POCKET ROCKET
SICK 7O7,Rejected,Vulgar or degrading term,707 AREA CODE,2.0,AWESOME HORSEPOWER OF ENGINE
SLWTURD,Rejected,Vulgar or degrading term,TURD POOP,2.0,SLOW TURD- BECAUSE THE CAR IS SLOW AND ITS KIND OF UGLY BUT ITS MY UGLY CAR THAT I BOUGHT WITH MY OWN HARD EARNED MONEY.
SMOKING,Rejected,Vulgar or degrading term,SMOKING,2.0,"SMOKING AS IN ""THIS CAR IS SMOKING HOT"""
THR8888,Rejected,Vulgar or degrading term,8888 88X2,2.0,THAI HOUSE REDLANDS
V8 KLLR,Rejected,Vulgar or degrading term,KILLER,2.0,V8 MOTOR KILLER I DRIVE A V10 MOTOR CAR
4 TROUT,Rejected,Sexual connotation,TROUT FISH SLANG FOR VAGINA,1.0,FISHING CAR. USED TO GET TO TROUT. 4 TROUT.
5M5,Rejected,Vulgar or degrading term,LOOKS LIKE SMS,2.0,MY LUCKY NUMBER AND LETTER.
88GMC88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2.0,COMPANY NAME
DADYCAT,Rejected,Sexual connotation,CAT,1.0,
66$99,Rejected,Sexual connotation,69 SEXUAL REFERENCE,1.0,LUCKY IN CHINESE
L13CKY,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2.0,LUCKY 13
ASSBUTT,Rejected,Sexual connotation,ASS BUTT,1.0,A QUOTE FROM THE CHARACTER WHICH MY CAR IS NAMED AFTER.
BLUE DRM,Rejected,Vulgar or degrading term,BLUE DREAM,2.0,BLUE DREAM (FOR A BLUE TESLA)
B24GUNR,Rejected,Vulgar or degrading term,GUNNER,2.0,MY FATHER WHO RECENTLY PASSED AWAY WAS A GUNNER ON A B24 DURING WWII
DD 1 UP,Rejected,Sexual connotation,DD DOUBLE D,1.0,CHILDHOOD HOMETOWN NUMBER
PSY2CME,Rejected,Sexual connotation,LOOS LIKE PSY PUSSY,1.0,ADVERTISEMENT FOR PSYCHOLOGICAL WORK
6KO9 BRA,Rejected,Sexual connotation,69 AND BRA SEXUAL REFERENCE,1.0,MY NICK NAME
8KHJT88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2.0,
AEOIB 18,Rejected,"Foreign, slang, or phonetic",18 IS RELATED TO HITLER IN PRISON,7.0,NO MICRO
A267O56,Rejected,"Foreign, slang, or phonetic",OLD PLACARD NUMBER,7.0,NO MICRO
