plate,status,category,reviewer_comments,review_reason_code,customer_meaning
CR7 415M,Rejected,Vulgar or degrading term,415 AREA CODE,2,MY FAVORITE TEAM SOCCER
F CUNADO,Rejected,Swear word or profane,FUCK BROTHER IN LAW.. HOWEVER CUSTOMER NAME IS  F. CUNADO,3,MY NAME
FJ55 PIG,Rejected,Misrepresents law enforcement,PIG,5,FJ55 IS A TYPE OF TOYOTA LANDCRUISER. THEY WERE NICKNAMED THE IRON PIG.
FLIVVER,Accepted,Swear word or profane,LOOKS LIKE FUCK LIVER,3,"AN AUTOMOBILE, ESPECIALLY ONE THAT IS SMALL, INEXPENSIVE, AND OLD"
FN RAMS,Rejected,Swear word or profane,FUCKING RAMS,3,FAN RAMS
GNTLJAK,Rejected,Sexual connotation,GENTLEMENS JACK.. OR SEXUAL REFERENCE GENTLE JACK AS IN GENTLE MASTURBATION,1,GENTLE JACK
HAWX BCH,Rejected,Swear word or profane,HAWKS BITCH,3,
HOOKN UP,Rejected,Sexual connotation,SEXUAL REFERENCE,1,DRAG RACING TERM WHEN TIRES DO NOT BREAK LOOSE OFF THE STARTING LINE.
I71717I,Rejected,Deleted from series,LOOK A LIKE,6,
JOOLS G,Rejected,Vulgar or degrading term,G AS IN GANGSTER,2,MY NAME
MF 88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,
M1K3 75,Accepted,Vulgar or degrading term,13 GANG REFERENCE,2,
M1OO752,Rejected,Deleted from series,LOOKS LIKE A TIN NUMBER,6,"IN MEMORY OF MY MOTHER, HER BIRTHDAY"
OG 64,Rejected,Vulgar or degrading term,ORIGINAL GANGSTER,2,ORIGINAL 1964
O2ASN8S,Rejected,Vulgar or degrading term,OH TO ASSASINATE,2,FAVORITE POKER HAND.
PRO GUNS,Rejected,Vulgar or degrading term,GUNS,2,"I BELIEVE IN OUR CONSTITUTIONAL RIGHTS AFFORDED TO ALL AMERICAN CITIZENS OF THE UNITED STATES OF AMERICA REGARDLESS OF RACE, CREED, SEXUAL ORIENTATION OR COLOR."
XXXMMIX,Rejected,Sexual connotation,XXX SEXUAL REFERENCE,1,DAUGHTERS BIRTHDAY IN ROMAN NUMERALS
1 BD BECH,Rejected,Swear word or profane,1 BAD BITCH,3,I SPEND ALMOST ALL MY DAYS AT PISMO BEACH OFF ROADING WITH THIS TRUCK ONE BAD(AS IN GOOD) BEACH
11RRM13,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2,
13 BEAST,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2,
17991 II,Rejected,Deleted from series,II SUBSTITUTE FOR 11 LOOKS LIKE AN EXEMPT,6,MODEL
455HO,Rejected,Sexual connotation,HO HOE,1,455 IS THE SIZE OF A PONTIAC MOTOR AND H.O STANDS FOR HIGH OUTPUT FOR A 1972 PONTIAC MOTOR.
7O7 NAPA,Rejected,Vulgar or degrading term,707 AREA CODE,2,CODE AREA OF TOWN
73SWNGR,Rejected,Sexual connotation,SWINGER SEXUAL REFERENCE,1,1973 DART SWINGER (TYPE OF CAR)
8NOAH88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,
8ZERO5,Rejected,Vulgar or degrading term,805 AREA CODE,2,AREA CODE
88 PANDA,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,NICK NAME
HELMA14,Rejected,Vulgar or degrading term,14 GANG REFERENCE,2,
OH FUK,Rejected,Swear word or profane,OH FUCK,3,OUR HOLY FOREIGN UNITED KINGDOM. BECAUSE WE ARE PEACEFUL WITH OTHERS.
BLU HEVN,Accepted,Vulgar or degrading term,BLUE HEAVEN,2,
CAMP530,Rejected,Vulgar or degrading term,530 AREA CODE,2,CAMPING TRAILER = CAMP 530 IS MY AREA CODE
G GAWAT,Accepted,Vulgar or degrading term,G AS IN GANGSTER BUT ALSOLOOKS LIKE GIGAWAT,2,GIGAWAT
NYSPSYD,Accepted,Sexual connotation,CAN NOT TRANSLATE LOOKS SEXUAL,1,NICOLA YVONNE SIMMERSBACH DOCTOR OF PSYCHOLOGY
SGTGUNY,Accepted,Vulgar or degrading term,GUNNY,2,MILITARY SARGEANT
HALZ BLZ,Rejected,Swear word or profane,HELLS BELLS,3,GOES FAST
650 ZOH6,Rejected,Vulgar or degrading term,650 AREA CODE,2,650 HORSEPOWER CORVETTE Z06
ADVTACO,Rejected,Sexual connotation,TACO,1,ADVENTURE TACOMA
BADHAZZ,Rejected,Swear word or profane,LOOKS LIKE BAD ASS,3,REFERRING TO MY HIGH PERFORMANCE CAR
BITCN69,Rejected,Swear word or profane,BITCHIN,3,BAD 1969
CHOLO47,Rejected,Vulgar or degrading term,CHOLO GANG REFERENCE,2,CHOLO47
DAM ZO6,Rejected,Swear word or profane,DAMN,3,DAM IS MY CHILDREN'S INITIALS. I OWN DAMVAN AND DAMDAD PLATES. DEF. OF DAM IS A BARRIER OF WATER. GOING IN A Z06 CORVETTE.
DC AT 16,Accepted,Sexual connotation,LOOKS LIKE A SEXUAL REFERENCE,1,
DGRS 13,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2,DODGERS 13
ENC LOC,Rejected,Vulgar or degrading term,LOC GANG REFERENCE,2,ENCINITAS LOCAL
FRM916SZ,Rejected,Vulgar or degrading term,916 AREA CODE,2,
FUXGVN O,Rejected,Swear word or profane,ZERO FUCKS GIVEN,3,PROMOTION FOR GRAPHIC DESIGN AND USER INTERFACE SERVICES SMALL BUSINESS PROVIDES
GILZ442,Accepted,Vulgar or degrading term,442 AREA CODE,2,GILZ IS MY NAME AND 442 IS THE MODEL OF THE CAR
HORSMOB,Rejected,Vulgar or degrading term,MOB,2,I TRAILER HORSES
JEW ESQ,Rejected,Vulgar or degrading term,JEW LAWYER?,2,JEWISH LAWYER
JJ LIL B,Rejected,Swear word or profane,LIL B COULD BE TAKEN AS LIL BITCH,3,"JJ IS FOR JONATHAN AND JORGE. LIL B IS FOR OUR DOG, LITTLE BISKIT."
JMAR 88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,
KING 442,Accepted,Vulgar or degrading term,442 AREA CODE,2,442 IS THE MODEL OF THE CAR. KING REPRESENTS THE NICEST ONE OUT THERE
LOGAN G,Rejected,Vulgar or degrading term,G AS IN GANGSTER.. CUSTOMER NAME NOT LOGAN,2,NAME
MYBULIT,Rejected,Vulgar or degrading term,BULLET,2,MOVIE
NNJA HLR,Accepted,Vulgar or degrading term,NINJA ALSO ANOTHER FOR NIGGA ..,2,NINJA HAULER
O BLU 73,Accepted,Vulgar or degrading term,BLUE,2,OLD BLUE 1973
PUFF OO7,Rejected,Vulgar or degrading term,PUFF,2,MY NICKNAME PUFFY AND OO7 FOR SEAN CONNERRY
PUNK 13,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2,
RMRZMOB,Rejected,Vulgar or degrading term,MOB,2,"FAMILY LAST NAME IS RAMIREZ. OUR KIDS NAMES ARE MANUEL, OLIVIA, BELLA. THE FIRST LETTERS OF THEIR NAMES ARE MOB."
SEXY G,Rejected,Sexual connotation,G AS IN GANGSTER,1,SEXY G STANDS FOR SEXY GERLYN. THIS IS MY NICKNAME AMONGST MY FRIENDS AND FAMILY
SOSSKRWD,Rejected,Vulgar or degrading term,SO SCREWED,2,
SXYNTMR,Accepted,Sexual connotation,SEXY?,1,IN MEMORY OF MY RECENTLY DECEASED MOM AND DAD
US7ONE4,Rejected,Vulgar or degrading term,714 AREA CODE,2,I AM A PROFESSIONAL MOTOCROSS RACER. THIS REPRESENTS MY RACING NUMBER.
WYTRASH,Rejected,Vulgar or degrading term,WHITE TRASH,2,
XSMASHX,Rejected,Sexual connotation,SMASH WORD FOR SEX..,1,SMASH
1 BUTCH,Accepted,Vulgar or degrading term,BUTCH A SLANG WORD FOR LESBIAN,2,NICKNAME (GRANDFATHER'S NAME)
2POAD18,Rejected,Vulgar or degrading term,18 HITLER REFERENCE,2,IN HONOR OF MY GRANDFATHER WHO PASSED THIS YEAR
6GH6EZ,Rejected,Deleted from series,NOT SURE IF THIS IS A LOOK A LIKE,6,"BIRTHDAY, LAST NAME AND SIBLINGS NUMBERS."
7O7 CU,Rejected,Vulgar or degrading term,707 AREA CODE,2,
8DAT ASS,Rejected,Swear word or profane,ATE THAT ASS,3,8 IS MY FAVORITE NUMBER DATA BECAUSE IT HAS TO DO WITH MY JOB AND SS FOR CAMARO SS
8MRTSX8,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,IT REPRESENTS THE YEAR I WAS BORN AND THE COMPANY NAME DUE TO MY MEXICAN FAMILY
DRLYB$D,Accepted,Vulgar or degrading term,CAN NOT TRANSLATE,2,FOR PRINCE'S DEATH
CVAG,Rejected,Sexual connotation,SEE VAG AS IN VAGINA,1,CENTRAL VALLEY APPRAISAL GROUP
OG PRO,Rejected,Vulgar or degrading term,ORIGINAL GANGSTER,2,ORIGINAL PRO
SHOT SKE,Rejected,Vulgar or degrading term,SHOT,2,"THIS WILL GO ON THE SUV FOR TAHOE AND IS OUR SKI TEAM'S NAME FOR SQUAW VALLEY. FUN PLATE, PLEASE APPROVE"
BELLACA,Accepted,Sexual connotation,DEROGATORY TERM FOR A LOOSE WOMAN,1,
BUCKOPH,Rejected,Swear word or profane,FUCK OFF,3,IT IS RODEO SLANG FOR WHO CAN RIDE THE MOST BUCKING BRONCS. THE PLATE IS GOING ON A MUSTANG
CATBOX5,Rejected,Sexual connotation,CAT,1,
DN92270,Accepted,Deleted from series,NOT SURE IF THIS IS A LOOK A LIKE,6,"DEEANN NICHOLS, MY INITIALS MY ZIP CODE IS 92270, RANCHO MIRAGE, CA"
EL FIVE O,Rejected,Misrepresents law enforcement,COPS,5,MUSTANG
GEO DYE,Rejected,Vulgar or degrading term,DIE,2,
IL DUCE,Rejected,Swear word or profane,ILL SHIT DEUCE IS ANOTHER WORD FOR SHIT POOP,3,THE LEADER IN ITALIAN
LEOS 666,Accepted,Vulgar or degrading term,666 MARK OF THE BEAST,2,
LIQR MNY,Rejected,Vulgar or degrading term,LIQOR MONEY,2,I OWN A LIQUOR STORE AND MY PLATE MEANS MY MONEY COMES FROM LIQUOR SALES.
MKRMNKY,Rejected,Sexual connotation,MONKEY,1,MAKER MONKEY
WTF LAVA,Rejected,Swear word or profane,WTF WHAT THE FUCK,3,MY NICKNAME
AZN LADY,Rejected,Vulgar or degrading term,ASIAN LADY,2,ASIAN LADY
2ND PIG,Rejected,Misrepresents law enforcement,PIG,5,
ARIES18,Rejected,Vulgar or degrading term,18-HITLER,2,ZODIAC SIGN
B EATNU1,Rejected,Vulgar or degrading term,BE EATING YOU,2,JEEPERS CREEPERS MOVIE
BICHO1,Rejected,Sexual connotation,SMALL. BOY. BEAST. SMALL BUG. VULVA IN NICARAGUA AND PENIS IN PUERTO RICO.,1,NO MICRO
BMB CLB,Rejected,Vulgar or degrading term,BOMB CLUB,2,CAR CLUB
CPTRBLU,Rejected,Vulgar or degrading term,CAPTURE BLUE….CAPTURE CRIPS,2,COMPUTER BLUE PRINCE SONG
DAM GABE,Rejected,Swear word or profane,DAMN,3,JUST WHAT IT SAYS
DAMHNDY,Rejected,Swear word or profane,DAMN HANDY,3,DAM (GOUDLAS ALLEN MOREHEAD) HANDY. THIS PLATE REPRESENTS THE HANDYMAN SERVICES THAT I OFFER
EFFN MDC,Rejected,Swear word or profane,FUCKIN,3,PARAMEDIC IN THE CITY
FCKMHRD,Rejected,Swear word or profane,FUCK 'EM HARD,3,THE WAY EVERYTHING WORKS
FIGGZ 69,Rejected,Sexual connotation,COULDN'T VERIFY 1969 VEHICLE,1,MY LAST NAME AND MONTH AND DATE OF MY ANNIVERSARY
FLINT G,Rejected,Vulgar or degrading term,G,2,MY NAME
FLN BLU,Rejected,Vulgar or degrading term,FLYIN BLUE…COLORS,2,LOVE BLUES MUSIC
HELLAKT,Accepted,Swear word or profane,HELLA CAT,3,REFERS TO HELLCAT. CAR IS A DODGE CHALLENGER HELLCAT
HOE TOX,Rejected,Vulgar or degrading term,HOE,2,PLASTIC SURGERY
JOSUE 14,Rejected,Vulgar or degrading term,14-HITLER,2,MY SONS NAME AND BIRTHDATE
LAVVW13,Rejected,Vulgar or degrading term,13-GANG,2,NO MICRO
NCENWET,Rejected,Sexual connotation,NICE N WET,1,AFTER A CARWASH
NOW WTF,Rejected,Swear word or profane,WTF,3,NAVY TERM FOR EQUIPMENT I SPECIALIZE IN
OH MY 69,Rejected,Sexual connotation,COULDN'T VERIFY 1969 VEHICLE,1,OH MY 1969 DATSUN
PETER13,Rejected,Vulgar or degrading term,13-GANG,2,1 PETER 1'3 BIBLE VERSE
SCAL5OH,Accepted,Misrepresents law enforcement,50,5,SOUTHERN CALIFORNIA 50H MEANS MY ENGINE IS A 5.0 LITER
SUBE 13,Accepted,Vulgar or degrading term,13-GANG,2,SUBE FOR SUBARU AND 13 IS THE YEAR OF THE CAR
TROOP 88,Rejected,Vulgar or degrading term,88-HITLER,2,FAMILY NICKNAME
14 SOTO,Rejected,Vulgar or degrading term,14-HITLER,2,NO MICRO
2IDFK3,Rejected,Swear word or profane,I DON’T FUCKING KNOW,3,I DON’T KNOW FEELING
2N PINK,Rejected,Sexual connotation,2 IN THE PINK,1,MY WIFES FAVORITE NUMBER AND COLOR
415VETT,Rejected,Vulgar or degrading term,CA AREA CODE,2,NO MICRO
5O4MY5O,Accepted,Vulgar or degrading term,50,2,50 VETTE FOR 50TH BIRTHDAY
9O9 GT5O,Rejected,Vulgar or degrading term,CA AREA CODE,2,AREA CODE OF CAR LOCATION AND MODEL OF THE CAR
NC53O,Rejected,Vulgar or degrading term,CA AREA CODE,2,NO MICRO
I$BICHO,Rejected,Vulgar or degrading term,SMALL. BOY. BEAST. SMALL BUG. VULVA IN NICARAGUA AND PENIS IN PUERTO RICO.,2,NO MICRO
JCT88&,Rejected,Vulgar or degrading term,88-HITLER,2,INITIAL AND LUCKY NUMBER
ARDYFYB,Rejected,Swear word or profane,FUCK YOU BITCH,3,NO MICRO
GLOGANG,Rejected,Vulgar or degrading term,GANG,2,"FAVORITE RAP ARTISTS SLOGAN/CLOTHING BRAND NAME. HAS NO ACTUAL RELATION TO GANG ACTIVITY. JUST A NAME TO THE CLOTHING BRAND FOR MY FAVORITE ARTIST ""CHIEF KEEF"""
ITSCACA,Rejected,Vulgar or degrading term,ITS CACA…POOP,2,INFORMATION TECHNOLOGIST FOR THE SACRAMENTO CHAPTER OF THE CALIFORNIA AUTOMOTIC COLLECTORS ASSOCIATION
OMEGA13,Rejected,Vulgar or degrading term,13-GANG,2,FROM THE MOVIE GALAXY QUEST (1999) IT IS A TIME TRANSPORT DEVICE
PHAUXTO,Rejected,Swear word or profane,FUCKS TOO,3,NO MICRO
ALFA KLR,Rejected,Vulgar or degrading term,KILLER,2,DATSUN 510 BEAT ALFA ROMEO IN GT RACING SERIES THE FIRST YEAR RACING THE ALFA. DATSUN IS KNOWN AS THE ALFO ROMEO KILLER. ALFA HAD WON THE SERIES 3 YEARS IN A ROW BEFORE 510 COMPETED
BTCH BYE,Rejected,Swear word or profane,BITCH,3,ITS JUST AN INSIDE JOKE
DENLA69,Rejected,Sexual connotation,DENLA IS GAY PORN,1,MY COMPANY NAME IS DENLA. DEN LOS ANGELES
DILF 1,Rejected,Swear word or profane,DAD I'D LIKE TO FUCK,3,CHILDHOOD NICKNAME
EDM AF,Rejected,Swear word or profane,AS FUCK,3,I LISTEN TO A LOT OF EDM AND LOVE IT
EH 88,Rejected,Vulgar or degrading term,88-HITLER,2,INITIALS AND DOB
EXCYN69,Rejected,Sexual connotation,COULDN'T VERIFY 1969,1,EX-LAST 2 LETTERS OF ALEX. CYN-CYNTHIA. 69 NUBER OF LETTERS FOR MADEJA AND FELICIANO
GLOCK2A,Rejected,Vulgar or degrading term,GLOCK,2,GLOCK 2ND AMENDMENT
HELBENT,Accepted,Swear word or profane,HELLBENT,3,HELLBENT MEANS DETERMINED. IT’S A PLAY ON WORDS CONSIDERING THE LICENSE PLATE WILL GO ON A DODGE CHALLENGER HELLCAT
HELLA GD,Accepted,Swear word or profane,HELLA GOOD,3,HELLA GOD IS A SONG TITLE
HELLKUB,Rejected,Swear word or profane,HELLCUB,3,SMALLER ENGINE SIZE TO A LION THEMED VEHICLE
JESSE88,Rejected,Vulgar or degrading term,88-HITLER,2,JESSE IS MY NAME AND 88 IS FOR THE YEAR OF MAKE OF MY VEHICLE
LITLE G,Rejected,Vulgar or degrading term,G,2,LITTLE GIRL NICKNAME
MAZDA13,Accepted,Vulgar or degrading term,13-GANG,2,CAR NAME
MEANFN V,Rejected,Swear word or profane,MEAN FUCKIN V,3,A PLATE FOR MY WIFE AND I. ME AND FAITH NEWBERRY VENICE
MHB 13,Rejected,Vulgar or degrading term,13-GANG,2,MY INITIALS AND LUCKY NUMBER
MICHO88,Rejected,Vulgar or degrading term,88-HITLER,2,NICKNAME AND THE YEAR I WAS BORN
MIJO831,Rejected,Vulgar or degrading term,CA AREA CODE,2,SON DATE OF BIRTH
MNT CHP,Rejected,Misrepresents law enforcement,MINT CHIP…. CHP,5,MINT CHIP ICE CREAM
NSWL 88,Rejected,Vulgar or degrading term,88-HITLER. LAST NAME IS LAWSIN,2,MEANING IS MY LAST NAME BACKWARDS BUT IN AN ACRONYM. I ALSO TOOK OUT THE I AND A TO MAKE IT UNIQUE. I WAS BORN IN 1988.
PNTO187,Rejected,Vulgar or degrading term,187-MURDER,2,IT’S A HOT ROD TERM FOR A CAR THAT IS PAINTED ALL BLACK AND THE CAR IS A PINTO
PRN4LFE,Rejected,Sexual connotation,PORN FOR LIFE… PRN IS A TERM FOR NURSES,1,PRINCE ROGERS NELSON FOR LIFE
Q 5 O,Accepted,Misrepresents law enforcement,50,5,CAR MODEL
SIXBNGR,Rejected,Sexual connotation,6BANGER IS MARKED UNACCEPTABLE,1,ENGINE IS A 6 CYLINDER
SKOZ HOE,Rejected,Vulgar or degrading term,HOE,2,MY NICKNAME IS SKO AND HOE IS SHORT FOR TAHOE. WHICH IS WHAT THE VEHICLE THIS PLATE IS GOING ON IS.
SKR8P N,Rejected,Vulgar or degrading term,"SCRAPN, SCRAPPIN. SCRAP IS A TERM FOR SORENOS",2,SCRAPING LOW TO THE GROUND
SNKE4O8,Rejected,Vulgar or degrading term,CA AREA CODE,2,SNAKE 4O8
SUP 5 O,Rejected,Misrepresents law enforcement,50,5,SUPERIOR 5.0
TACOTUK,Rejected,Sexual connotation,TACO,1,TACOMA TRUCK
TNT 5O5O,Rejected,Vulgar or degrading term,TNT,2,TRISH AND TAMMY 50% & 50%
TOFULOL,Rejected,Swear word or profane,TOFU LOL OR TO FUCK YOU LOL,3,TOFULOL
VC231O3,Rejected,Vulgar or degrading term,VEHICLE CODE,2,VEHICLE CODE
WTDA PHK,Rejected,Swear word or profane,WHAT THE FUCK,3,WHAT DAY IS POLY HIGH KICK OFF
YK69NYJ,Rejected,Vulgar or degrading term,COULDN'T VERIFY 1969,2,YK NICKNAME. 69NYJ IS FAVORITE TEAM AND YEAR
1FU RRY1,Rejected,Swear word or profane,1 FU…. FURY…F-U-RA-RY FARRARI,3,AS BIG AS A TANK. FOR EXCURSION
2MYTACO,Rejected,Sexual connotation,TACO,1,2 MY TACOMA
4 EVER G,Rejected,Vulgar or degrading term,G,2,FIRST INITIAL OF LAST NAME
5O GASER,Rejected,Misrepresents law enforcement,50,5,1950 CHEVY STREET RACER
65 MY442,Accepted,Vulgar or degrading term,CA AREA CODE,2,65-YEAR OF MANUFACTURE. MY-MINE. 442-MODEL OF CAR
69CUDIE,Rejected,Sexual connotation,COULDN'T VERIFY 1969. CUDIE..SEX,1,FOR MY 1969 BARRACUDA
7ONE4,Rejected,Vulgar or degrading term,CA AREA CODE,2,AREA CODE
72 CUTY,Rejected,Sexual connotation,CUTY...SEX,1,1972 CUTLASS
8 O5RAMS,Rejected,Vulgar or degrading term,CA AREA CODE,2,MY AREA CODE
88 KANG,Rejected,Vulgar or degrading term,88-HITLER,2,YEAR OF BIRTH AND LAST NAME
SHRIF$R,Rejected,Misrepresents law enforcement,SHERIFF LOVER,5,SHERIFF LOVER ( I HAVE FAMILY IN THE DEPT)
DIX 15,Rejected,Sexual connotation,FIRST NAME IS RICHARD. COULDN'T VERIFY A '15 VEHICLE,1,DICK'S 2015 CHEVROLET SS
SSNUKE,Rejected,Vulgar or degrading term,NUKE,2,SS-SUBMARINE. NUKE -EX JOB WAS NUCLEAR REACTOR OPERATOR
CHOCCHP,Rejected,Misrepresents law enforcement,CHOCOLATE CHIP…CHP,5,CHOCOLATE CHIP
DBL DZZ,Rejected,Sexual connotation,DOUBLE D'S,1,"THIS IS THE NICKNAME OF MY OFF ROADING RACE TEAM AND BUSINESS ""DOWN AND DIRTY"" AKA ""DOUBLE D"""
WANGSTA,Rejected,Vulgar or degrading term,WHITE GANGSTA,2,I PUT WANG FOR MY WING THAT I HAVE ON IT
3JAXH8R,Rejected,Vulgar or degrading term,HATER,2,GOLF SLANG MEANING TO THREE PUTT. THREE JACKS HATER
THREWAY,Rejected,Sexual connotation,THREEWAY,1,THERE WAY (FRANK SINATRA SONG)
TITSS,Rejected,Sexual connotation,TITS,1,TIGHT SUPER SPORT
KLNPOWR,Rejected,Vulgar or degrading term,"TO HAVE KILLING POWER, OR TO KILL THE POWER AKA SHUT OFF THE LIGHTS",2,CLEAN POWER
AGUAS 13,Rejected,Vulgar or degrading term,"13=GANG NUMBER, NO 2013 CAR ON ANI",2,NOT ON QUICKWEB YET
BAF,Rejected,Swear word or profane,"busy as fuck, bored as fuck, etc. last name is Bafiera so short for his name",3,NOT ON QUICKWEB YET
DADA666,Accepted,Negative connotation to group,daddy 666,4,NOT ON QUICKWEB YET
DWN2PND,Rejected,Sexual connotation,"DOWN TO POUND, SEXUAL",1,NOT ON QUICKWEB YET
EXPOPO,Rejected,Misrepresents law enforcement,EX POLICE,5,NOT ON QUICKWEB YET
IM BAKA,Rejected,Vulgar or degrading term,"BAKA=IDIOT, FOOL OR STUPID IN JAPANESE",2,NOT ON QUICKWEB YET
5ODPW,Rejected,Misrepresents law enforcement,"50=police, can't do ani. Auto club only gave customer first name",5,NOT ON QUICKWEB YET
MEHO3,Rejected,Sexual connotation,"likely means ""mijo"" but pulled for ho, not a look-alike",1,NOT ON QUICKWEB YET
PNKSJP,Accepted,Sexual connotation,"pulled for pink=pussy. Customer last name is Pinkiert, he is a firefighter and owns a Jeep",1,NOT ON QUICKWEB YET
BB BTTM,Rejected,Sexual connotation,"bottom, can have s&m sexual connotations, also bottom=ass",1,NOT ON QUICKWEB YET
BOMBON4,Rejected,Vulgar or degrading term,"bomb, OR bombon (Spanish..not sure of slang translation?)",2,NOT ON QUICKWEB YET
CMB 88,Rejected,Vulgar or degrading term,"no 88 vehicle, 88=hate symbol (or good luck!)",2,NOT ON QUICKWEB YET
4 J RED,Rejected,Vulgar or degrading term,RED=GANG COLOR,2,NOT ON QUICKWEB YET
8T8 ROCS,Rejected,Vulgar or degrading term,"88=HATE SYMBOL, NO 88 VEHCLE",2,NOT ON QUICKWEB YET
ASHOOOO,Rejected,Swear word or profane,ASS HOLE,3,MY NICKNAME
ASKS BS,Rejected,Swear word or profane,ASK BULLSHIT,3,
BADKITE,Accepted,Sexual connotation,BAD KITTY,1,BAD KITTY...AKA JAGUAR
BATS88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,LOVER OF BATMAN. BORN IN 1988
BLC DTH,Rejected,Vulgar or degrading term,BLACK DEATH,2,
G PADLLA,Accepted,Vulgar or degrading term,G IS THE CUSTOMERS FIRST INITIAL,2,FIRST INITIAL AND LAST NAME. GINA PADILLA
GR88SCT,Accepted,Vulgar or degrading term,GREAT SCOTT BUT 88 IS HITLER REFERENCE,2,GREAT SCOT
IZYGUNR,Rejected,Vulgar or degrading term,GUNNER,2,NICKNAME
JANI 323,Accepted,Vulgar or degrading term,323 AREA CODE,2,MY NICKNAME AND THE MODEL OF MY CAR
KICROXX,Rejected,Vulgar or degrading term,KICK ROCKS,2,I AM A MARATHON RUNNER AND KICK ROCKS OFTEN !!
KINGZ13,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2,FAVORITE SPORTS TEAM AND LUCKY NUMBER
MAGIC 13,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2,OUR LOVE OF MAGIC & GOING TO THE MAGIC CASTLE. AND THE # 13 IS OUR FAVORITE NUMBER & OUR WEDDING DATE
MN KILLA,Rejected,Vulgar or degrading term,MAN KILLER,2,NATIVE AMERICAN LAST NAME.
M323M,Rejected,Vulgar or degrading term,AREA CODE,2,INTIAL AND PRIME NUMBERS
NOMO FKS,Rejected,Swear word or profane,NO MORE FUCKS,3,TO BE FUNNY
PAL JEFE,Rejected,Vulgar or degrading term,JEFE BOSS GANG REFERENCE,2,
PJSTACO,Rejected,Sexual connotation,TACO,1,IN MEMORY OF PASTOR JUAN JUAREZ
SLICK 88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,NICKNAME
SOZINHO,Accepted,Sexual connotation,HOE,1,LAST NAME
S11B13Z,Accepted,Vulgar or degrading term,13 GANG REFERENCE,2,NICKNAME FOR SUBARUS: SUB
S2BIG4U,Rejected,Sexual connotation,IS TO BE FOR YOU,1,IS TOO BIG FOR YOU (4X4 JEEP)
TAAHKOO,Rejected,Sexual connotation,TACO,1,KAROK FOR WHITE
TACO OG,Rejected,Sexual connotation,TACO OG ORIGINAL GANGSTER,1,I OWN SANCHOS TACOS AND MY MOST POPULAR MENU ITEM IS THE OG TACO... BUT THAT WASNT AVAILABLE
TACOOOO,Rejected,Sexual connotation,TACO,1,LOWERED 1964 CADILLAC THAT IS NICKNAMED TACO......
YULIN G,Rejected,Vulgar or degrading term,G AS IN GANGSTER,2,
1BADAZV,Rejected,Swear word or profane,1 BAD ASS,3,MY CAR IS A ONE OF A KIND CADILLAC CTS-V THAT I PURCHASED IN AZ (ARIZONA).
13 GILL,Rejected,Vulgar or degrading term,13 GANG REFERENCE,2,13 IS MY LUCKY NUM GILL IS MY LAST NAME
7O7V7O7,Rejected,Vulgar or degrading term,707 AREA CODE,2,DATE
831TAT2,Rejected,Vulgar or degrading term,831 AREA CODE,2,
88KSA88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,INITIALS AND LUCKY NUMBER 8S
RRKY$14,Rejected,Vulgar or degrading term,14 GANG REFERENCE,2,
PYST6O,Rejected,Swear word or profane,PISSED,3,
EATKITY,Rejected,Sexual connotation,EAT KITTY SEXUAL REFERENCE,1,I LOVE CATS
EL JEFE9,Rejected,Vulgar or degrading term,JEFE BOSS GANG REFERENCE,2,THE BOSS
GSQUAD6,Rejected,Vulgar or degrading term,G AS IN GANGSTER,2,GIBERSON PARTY OF 6
S18K168,Rejected,Vulgar or degrading term,18 HITLER REFERENCE,2,MEANINGFUL INITIALS AND BIRTHDAYS (IN HONOR OF FAMILY MEMBERS)
29614II,Rejected,Deleted from series,LOOKS LIKE AN EXEMPT 1 SUBSTITUED FOR I,6,LOVE
5 TACOS,Rejected,Sexual connotation,TACOS,1,5 IN THE FAMILY AND WE LIKE TACOS!
AMRAK13,Rejected,Vulgar or degrading term,"13=GANG NUMBER, NO 2013 CAR",2,NOT ON QUICKWEB YET
BIMMER G,Rejected,Vulgar or degrading term,g=gangster,2,THE TYPE OF CAR I DRIVE IS A BMW AND THE G STANDS FOR MY MIDDLE NAME WHICH IS GILBERTO
BLOWMBL,Rejected,Sexual connotation,BLOWMOBILE ...blow can have sexual connotations,1,CAR WILL BE USED TO TRANSPORT HAIR DRIERS
BLUUUUU,Accepted,Vulgar or degrading term,"BLUE, GANG COLOR",2,THE COLOR BLUE
COCHOLO,Rejected,Vulgar or degrading term,cholo has gang connotations,2,IT IS MY DOGS NAME
